x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,,
0.822030683,8.680189349,1.371247016,,0.752622807,8.57700706,1.38346432,,0.81031013,7.961880602,1.375319451,,,
0.856618435,8.847697988,1.367174581,,0.785161525,8.744925757,1.379391885,,0.861668596,8.200768279,1.359029711,,,
0.896147294,9.039136434,1.367174581,,0.817016136,8.912975574,1.38346432,,0.91107967,8.440066336,1.367174581,,,
0.935676153,9.230574879,1.367174581,,0.849554854,9.080894271,1.379391885,,0.952166442,8.631176478,1.359029711,,,
0.976762926,9.421685021,1.359029711,,0.884142606,9.248402911,1.367174581,,0.999264244,8.845985366,1.354957276,,,
1.013394549,9.588758601,1.354957276,,0.91378925,9.391981745,1.367174581,,1.036575959,9.012908381,1.350884841,,,
1.050706264,9.755681616,1.350884841,,0.949058882,9.55934814,1.363102146,,1.074567145,9.179678063,1.346812406,,,
1.08869745,9.922451298,1.346812406,,0.985009807,9.726569514,1.359029711,,1.113237173,9.346291646,1.342739971,,,
1.138416058,10.13666876,1.342739971,,1.032107609,9.941378402,1.354957276,,1.163827752,9.560304857,1.338667536,,,
1.184159802,10.32671802,1.334595101,,1.058758834,10.06060913,1.350884841,,1.210345079,9.750166248,1.330522666,,,
1.224862463,10.49284673,1.330522666,,1.09675002,10.22737881,1.346812406,,1.245233073,9.89256229,1.330522666,,,
1.272924625,10.68232295,1.322377797,,1.157517207,10.48920015,1.342739971,,1.286611943,10.05852387,1.326450232,,,
1.314303494,10.84828453,1.326450232,,1.196865436,10.65565487,1.338667536,,1.335445334,10.24780279,1.318305362,,,
1.363136886,11.03756345,1.318305362,,1.243382762,10.84551626,1.330522666,,1.378848668,10.41324646,1.314232927,,,
1.411970277,11.22684237,1.318305362,,1.278270757,10.98791231,1.330522666,,1.429990836,10.60191465,1.306088057,,,
1.482290757,11.48626114,1.306088057,,1.319649626,11.15387389,1.326450232,,1.474067566,10.76718019,1.310160492,,,
1.533432925,11.67492933,1.306088057,,1.356274669,11.29583308,1.318305362,,1.518816963,10.93226486,1.306088057,,,
1.591831765,11.88694498,1.302015622,,1.412078956,11.50854636,1.314232927,,1.564238283,11.09716593,1.302015622,,,
1.645275076,12.0749743,1.293870752,,1.456155687,11.6738119,1.310160492,,1.617681594,11.28519524,1.293870752,,,
1.692707603,12.23930814,1.289798317,,1.493935742,11.81546808,1.310160492,,1.66511412,11.44952908,1.289798317,,,
1.740808973,12.40344746,1.285725882,,1.538685138,11.98055275,1.306088057,,1.713215491,11.6136684,1.285725882,,,
1.78957839,12.56738952,1.281653447,,1.591362271,12.16879815,1.297943187,,1.768188486,11.80125619,1.285725882,,,
1.853139802,12.77791508,1.277581012,,1.638125167,12.33332379,1.293870752,,1.824687519,11.98839001,1.277581012,,,
1.896655794,12.91791566,1.269436143,,1.691568477,12.52135311,1.293870752,,1.87479059,12.15192943,1.273508578,,,
1.954677116,13.10458311,1.269436143,,1.739001004,12.68568695,1.289798317,,1.925559247,12.31526344,1.269436143,,,
2.006110518,13.26770901,1.265363708,,1.780803361,12.82620872,1.281653447,,1.976992649,12.47838935,1.265363708,,,
2.05820781,13.43062411,1.261291273,,1.836539837,13.01357108,1.281653447,,2.037290157,12.66433402,1.257218838,,,
2.126042508,13.63981186,1.257218838,,1.885976491,13.17731318,1.277581012,,2.08938745,12.82724912,1.261291273,,,
2.17946498,13.80229724,1.253146403,,1.936079562,13.34085259,1.273508578,,2.150441704,13.01294668,1.253146403,,,
2.242029675,13.98749137,1.245001533,,1.986848219,13.50418661,1.269436143,,2.213006399,13.19814082,1.245001533,,,
2.297433245,14.14931196,1.240929098,,2.046387983,13.69037529,1.261291273,,2.25992992,13.33703642,1.245001533,,,
2.353495357,14.31090557,1.236856663,,2.091042805,13.8300168,1.261291273,,2.324000906,13.52171484,1.236856663,,,
2.417566342,14.49558399,1.236856663,,2.143803125,13.99271839,1.257218838,,2.38072063,13.68307881,1.232784228,,,
2.483139367,14.67973444,1.228711793,,2.197225598,14.15520376,1.253146403,,2.438097027,13.84421045,1.228711793,,,
2.550210081,14.8633447,1.220566924,,2.259790293,14.3403979,1.245001533,,2.503670052,14.0283609,1.228711793,,,
2.617280796,15.04695496,1.220566924,,2.307843531,14.47890671,1.236856663,,2.56170217,14.18925754,1.224639358,,,
2.676621457,15.20737361,1.216494489,,2.371914517,14.66358513,1.236856663,,2.620389045,14.34991652,1.220566924,,,
2.745930333,15.39015077,1.208349619,,2.428634241,14.82494909,1.232784228,,2.688953,14.53297442,1.212422054,,,
2.815239209,15.57292792,1.208349619,,2.494956661,15.00883097,1.224639358,,2.749598267,14.69290443,1.208349619,,,
2.886034465,15.75513451,1.200204749,,2.553643537,15.16948995,1.220566924,,2.810894333,14.85258614,1.204277184,,,
2.958311407,15.93675845,1.192059879,,2.603946573,15.30719765,1.220566924,,2.910275127,15.10231905,1.192059879,,,
3.022200399,16.09542052,1.187987444,,2.671017288,15.49080791,1.220566924,,2.982552068,15.28394298,1.192059879,,,
3.09521639,16.2767486,1.187987444,,2.731662554,15.65073792,1.208349619,,3.046441061,15.44260506,1.187987444,,,
3.159750992,16.43514918,1.183915009,,2.80097143,15.83351508,1.208349619,,3.12941412,15.64626294,1.183915009,,,
3.224930133,16.59328563,1.179842574,,2.844754335,15.94757345,1.204277184,,3.204639948,15.82668545,1.175770139,,,
3.290752732,16.75115533,1.175770139,,2.924398999,16.15255586,1.200204749,,3.271104913,15.98428579,1.171697705,,,
3.386618775,16.97591012,1.16762527,,2.986993604,16.31173303,1.196132314,,3.347064874,16.16440046,1.171697705,,,
3.454365156,17.13296388,1.163552835,,3.050235928,16.47065397,1.192059879,,3.414171104,16.32172881,1.16762527,,,
3.522750564,17.28974045,1.1594804,,3.11412492,16.62931604,1.187987444,,3.481917485,16.47878257,1.163552835,,,
