x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,
-0.051942763,10.21165004,1.566723892,,-0.1064704,9.931063089,1.562651457,,-0.037215854,9.553817643,1.566723892,,
-0.053733894,10.43155423,1.562651457,,-0.108062516,10.12653348,1.562651457,,-0.038011919,9.749292898,1.566723892,,
-0.05532601,10.62702462,1.562651457,,-0.110749175,10.34642856,1.558579022,,-0.038807984,9.944768153,1.566723892,,
-0.056918126,10.82249501,1.562651457,,-0.113137316,10.54189084,1.558579022,,-0.039803064,10.18911222,1.566723892,,
-0.057614683,10.99353586,1.566723892,,-0.114928447,10.76179503,1.562651457,,-0.040798145,10.43345629,1.566723892,,
-0.058410747,11.18901112,1.566723892,,-0.116520563,10.95726543,1.562651457,,-0.04159421,10.62893155,1.566723892,,
-0.060201878,11.40891531,1.562651457,,-0.118610186,11.12829493,1.558579022,,-0.042589291,10.87327562,1.566723892,,
-0.061097451,11.62882497,1.566723892,,-0.120998328,11.32375722,1.558579022,,-0.043385355,11.06875087,1.566723892,,
-0.061893515,11.82430022,1.566723892,,-0.122789458,11.54366141,1.562651457,,-0.04418142,11.26422613,1.566723892,,
-0.06268958,12.01977548,1.566723892,,-0.124381574,11.7391318,1.562651457,,-0.045972551,11.48413032,1.562651457,,
-0.064480711,12.23967967,1.562651457,,-0.12597369,11.93460219,1.562651457,,-0.046868123,11.70403998,1.566723892,,
-0.066072827,12.43515006,1.562651457,,-0.128063314,12.10563169,1.558579022,,-0.046868123,11.92395147,1.570796327,,
-0.0669684,12.65505973,1.566723892,,-0.129854445,12.32553589,1.562651457,,-0.048858269,12.16828946,1.562651457,,
-0.067764464,12.85053498,1.566723892,,-0.131446561,12.52100628,1.562651457,,-0.049952858,12.43706793,1.566723892,,
-0.068560529,13.04601024,1.566723892,,-0.133436706,12.76534427,1.562651457,,-0.050748922,12.63254319,1.566723892,,
-0.070749689,13.31478203,1.562651457,,-0.136123365,12.98523934,1.558579022,,-0.051544987,12.82801844,1.566723892,,
-0.072341805,13.51025242,1.562651457,,-0.138511506,13.18070163,1.558579022,,-0.052341051,13.0234937,1.566723892,,
-0.073535892,13.65685521,1.562651457,,-0.141496682,13.42502949,1.558579022,,-0.052341051,13.24340518,1.570796327,,
-0.074431464,13.87676487,1.566723892,,-0.146471756,13.66932493,1.550434152,,-0.053236624,13.46331485,1.566723892,,
-0.076222595,14.09666907,1.562651457,,-0.149456933,13.91365279,1.558579022,,-0.054032689,13.6587901,1.566723892,,
-0.07821274,14.34100706,1.562651457,,-0.152442109,14.15798065,1.558579022,,-0.054828754,13.85426536,1.566723892,,
-0.079804856,14.53647745,1.562651457,,-0.15423324,14.37788484,1.562651457,,-0.055624818,14.04974061,1.566723892,,
-0.080501413,14.7075183,1.566723892,,-0.161397129,14.67101263,1.546361717,,-0.056619899,14.29408468,1.566723892,,
-0.081297478,14.90299355,1.566723892,,-0.164680823,14.93977327,1.558579022,,-0.057415964,14.48955994,1.566723892,,
-0.083088608,15.12289774,1.562651457,,-0.167068964,15.13523556,1.558579022,,-0.058212028,14.68503519,1.566723892,,
-0.085078753,15.36723573,1.562651457,,-0.170651106,15.35511787,1.554506587,,-0.059008093,14.88051045,1.566723892,,
-0.086670869,15.56270613,1.562651457,,-0.17274073,15.52614737,1.558579022,,-0.060799224,15.10041464,1.562651457,,
-0.087367426,15.73374698,1.566723892,,-0.176322872,15.74602968,1.554506587,,-0.061694796,15.3203243,1.566723892,,
-0.088760539,16.07582867,1.566723892,,-0.179009531,15.96592476,1.558579022,,-0.063485927,15.54022849,1.562651457,,
-0.089556604,16.27130393,1.566723892,,-0.181397672,16.16138704,1.558579022,,-0.0643815,15.76013815,1.566723892,,
-0.090352669,16.46677918,1.566723892,,-0.183785813,16.35684933,1.558579022,,-0.065177564,15.95561341,1.566723892,,
-0.092143799,16.68668337,1.562651457,,-0.186173954,16.55231162,1.558579022,,-0.065973629,16.15108866,1.566723892,,
-0.093735915,16.88215377,1.562651457,,-0.188562096,16.74777391,1.558579022,,-0.06696871,16.39543273,1.566723892,,
-0.095328031,17.07762416,1.562651457,,-0.190353226,16.9676781,1.562651457,,-0.067764775,16.59090799,1.566723892,,
-0.096920147,17.27309455,1.562651457,,-0.193039885,17.18757317,1.558579022,,-0.068560839,16.78638324,1.566723892,,
-0.098910293,17.51743254,1.562651457,,-0.195428026,17.38303546,1.558579022,,-0.071148028,17.10402263,1.562651457,,
-0.100502409,17.71290293,1.562651457,,-0.197816167,17.57849775,1.558579022,,-0.072043601,17.32393229,1.566723892,,
-0.102094525,17.90837333,1.562651457,,-0.199209269,17.74953434,1.562651457,,-0.073436702,17.49496889,1.562651457,,
-0.103686641,18.10384372,1.562651457,,-0.201895928,17.96942941,1.558579022,,-0.074332275,17.71487855,1.566723892,,
-0.104582214,18.32375338,1.566723892,,-0.204284069,18.1648917,1.558579022,,-0.076123406,17.93478274,1.562651457,,
-0.106373344,18.54365757,1.562651457,,-0.206075175,18.31148842,1.558579022,,-0.077018978,18.1546924,1.566723892,,
-0.10796546,18.73912797,1.562651457,,-0.207866305,18.53139261,1.562651457,,-0.077815043,18.35016766,1.566723892,,
-0.109557577,18.93459836,1.562651457,,-0.21234407,18.8978844,1.558579022,,-0.078611108,18.54564291,1.566723892,,
-0.110453149,19.15450802,1.566723892,,-0.214732211,19.09334669,1.558579022,,-0.079407172,18.74111817,1.566723892,,
-0.111249214,19.34998327,1.566723892,,-0.218314423,19.38654012,1.558579022,,-0.081198303,18.96102236,1.562651457,,
-0.112045279,19.54545853,1.566723892,,-0.219707525,19.55757671,1.562651457,,-0.082790419,19.15649275,1.562651457,,
-0.113836409,19.76536272,1.562651457,,-0.22169767,19.8019147,1.562651457,,-0.083885008,19.42527123,1.566723892,,
-0.115428525,19.96083311,1.562651457,,-0.224981364,20.07067535,1.558579022,,-0.084681073,19.62074648,1.566723892,,
-0.116324098,20.18074278,1.566723892,,-0.227369505,20.26613764,1.558579022,,-0.085477137,19.81622174,1.566723892,,
-0.117120163,20.37621803,1.566723892,,-0.232344579,20.51043308,1.550434152,,-0.086273202,20.01169699,1.566723892,,
-0.117916227,20.57169329,1.566723892,,-0.234533739,20.77920487,1.562651457,,-0.088064332,20.23160119,1.562651457,,
-0.119707358,20.79159748,1.562651457,,-0.238414468,21.09683108,1.558579022,,-0.089656449,20.42707158,1.562651457,,
-0.121299474,20.98706787,1.562651457,,-0.240603628,21.36560287,1.562651457,,-0.091646594,20.67140957,1.562651457,,
-0.12289159,21.18253826,1.562651457,,-0.242693251,21.53663238,1.558579022,,-0.092542166,20.89131923,1.566723892,,
-0.123787163,21.40244793,1.566723892,,-0.247867457,21.85424016,1.554506587,,-0.093338231,21.08679449,1.566723892,,
-0.125578294,21.62235212,1.562651457,,-0.250255631,22.14744574,1.562651457,,-0.095129362,21.30669868,1.562651457,,
-0.12717041,21.81782251,1.562651457,,-0.252345255,22.31847525,1.558579022,,-0.096024934,21.52660834,1.566723892,,
-0.128364497,21.9644253,1.562651457,,-0.255927397,22.53835755,1.554506587,,-0.097418036,21.69764493,1.562651457,,
-0.129260069,22.18433497,1.566723892,,-0.259111524,22.7338085,1.554506587,,-0.098313609,21.91755459,1.566723892,,
-0.1310512,22.40423916,1.562651457,,-0.26070364,22.92927889,1.562651457,,-0.100104739,22.13745879,1.562651457,,
-0.132643316,22.59970955,1.562651457,,-0.263390299,23.14917396,1.558579022,,-0.101696856,22.33292918,1.562651457,,
-0.134235432,22.79517994,1.562651457,,-0.26577844,23.34463625,1.558579022,,-0.102592428,22.55283884,1.566723892,,
-0.135827548,22.99065033,1.562651457,,-0.268166581,23.54009854,1.558579022,,-0.104383559,22.77274303,1.562651457,,
-0.136723121,23.21056,1.566723892,,-0.270554722,23.73556082,1.558579022,,-0.105279132,22.99265269,1.566723892,,
-0.137519186,23.40603525,1.566723892,,-0.271947824,23.90659742,1.562651457,,-0.106075196,23.18812795,1.566723892,,
-0.141101328,23.62591756,1.554506587,,-0.274634483,24.12649249,1.558579022,,-0.107866327,23.40803214,1.562651457,,
-0.142693444,23.82138795,1.562651457,,-0.277022624,24.32195478,1.558579022,,-0.1087619,23.6279418,1.566723892,,
-0.143589017,24.04129762,1.566723892,,-0.279410765,24.51741707,1.558579022,,-0.10975698,23.87228587,1.566723892,,
-0.145778177,24.3100694,1.562651457,,-0.280803866,24.68845366,1.562651457,,-0.110553045,24.06776113,1.566723892,,
-0.147370293,24.5055398,1.562651457,,-0.283490525,24.90834873,1.558579022,,-0.11134911,24.26323638,1.566723892,,
-0.149360438,24.74987779,1.562651457,,-0.285878666,25.10381102,1.558579022,,-0.112145174,24.45871164,1.566723892,,
-0.150952554,24.94534818,1.562651457,,-0.288266808,25.29927331,1.558579022,,-0.113936305,24.67861583,1.562651457,,
-0.15254467,25.14081857,1.562651457,,-0.290654949,25.4947356,1.558579022,,-0.11592645,24.92295382,1.562651457,,
-0.154136786,25.33628896,1.562651457,,-0.29204805,25.66577219,1.562651457,,-0.116623007,25.09399467,1.566723892,,
-0.155728902,25.53175936,1.562651457,,-0.294734709,25.88566726,1.558579022,,-0.117817104,25.38720755,1.566723892,,
-0.159012597,25.80052,1.558579022,,-0.29712285,26.08112955,1.558579022,,-0.118613168,25.58268281,1.566723892,,
-0.160405698,25.9715566,1.562651457,,-0.299510991,26.27659184,1.558579022,,-0.119409233,25.77815806,1.566723892,,
-0.161997814,26.16702699,1.562651457,,-0.301899133,26.47205413,1.558579022,,-0.120205298,25.97363332,1.566723892,,
-0.16358993,26.36249738,1.562651457,,-0.304287274,26.66751642,1.558579022,,-0.121200379,26.21797739,1.566723892,,
-0.165182046,26.55796777,1.562651457,,-0.307073385,26.83853599,1.554506587,,-0.121996443,26.41345264,1.566723892,,
-0.167172192,26.80230576,1.562651457,,-0.310257511,27.03398693,1.554506587,,-0.122792508,26.6089279,1.566723892,,
-0.168764308,26.99777616,1.562651457,,-0.313541205,27.30274758,1.558579022,,-0.123588573,26.80440315,1.566723892,,
-0.170356424,27.19324655,1.562651457,,-0.315332336,27.52265177,1.562651457,,-0.125379703,27.02430734,1.562651457,,
-0.17194854,27.38871694,1.562651457,,-0.318018995,27.74254684,1.558579022,,-0.126275276,27.24421701,1.566723892,,
-0.173540656,27.58418733,1.562651457,,-0.320407136,27.93800913,1.558579022,,-0.128066407,27.4641212,1.562651457,,
-0.174436229,27.804097,1.566723892,,-0.323193247,28.1090287,1.554506587,,-0.129658523,27.65959159,1.562651457,,
-0.176227359,28.02400119,1.562651457,,-0.325879905,28.32892378,1.558579022,,-0.130554095,27.87950125,1.566723892,,
-0.177819476,28.21947158,1.562651457,,-0.327671036,28.54882797,1.562651457,,-0.13135016,28.07497651,1.566723892,,
-0.179411592,28.41494197,1.562651457,,-0.33095473,28.81758861,1.558579022,,-0.132146225,28.27045176,1.566723892,,
-0.181003708,28.61041236,1.562651457,,-0.333342871,29.0130509,1.558579022,,-0.133141306,28.51479583,1.566723892,,
-0.181899281,28.83032203,1.566723892,,-0.335133977,29.15964762,1.558579022,,-0.13393737,28.71027109,1.566723892,,
-0.183690411,29.05022622,1.562651457,,-0.337522118,29.3551099,1.558579022,,-0.134733435,28.90574634,1.566723892,,
-0.185282527,29.24569661,1.562651457,,-0.340507295,29.59943776,1.558579022,,-0.136524565,29.12565053,1.562651457,,
-0.186874643,29.441167,1.562651457,,-0.342895436,29.79490005,1.558579022,,-0.138116682,29.32112093,1.562651457,,
-0.187770216,29.66107666,1.566723892,,-0.345283577,29.99036234,1.558579022,,-0.140106827,29.56545892,1.562651457,,
-0.188566281,29.85655192,1.566723892,,-0.347671718,30.18582463,1.558579022,,-0.141698943,29.76092931,1.562651457,,
-0.190357411,30.07645611,1.562651457,,-0.349462849,30.40572882,1.562651457,,-0.143291059,29.9563997,1.562651457,,
-0.191949527,30.2719265,1.562651457,,-0.353443007,30.6500425,1.554506587,,-0.144186632,30.17630936,1.566723892,,
-0.193939673,30.51626449,1.562651457,,-0.356129666,30.86993757,1.558579022,,-0.145977762,30.39621355,1.562651457,,
-0.19513376,30.66286729,1.562651457,,-0.358517807,31.06539986,1.558579022,,-0.147569878,30.59168395,1.562651457,,
-0.197123905,30.90720528,1.562651457,,-0.360905948,31.26086214,1.558579022,,-0.147569878,30.83603004,1.570796327,,
-0.198716021,31.10267567,1.562651457,,-0.363692059,31.43188172,1.554506587,,-0.148465451,31.0559397,1.566723892,,
-0.200308137,31.29814606,1.562651457,,-0.366975753,31.70064236,1.558579022,,-0.149460532,31.30028377,1.566723892,,
-0.201900253,31.49361646,1.562651457,,-0.36996093,31.94497022,1.558579022,,-0.15005758,31.44689022,1.566723892,,
-0.202795826,31.71352612,1.566723892,,-0.371752035,32.09156694,1.558579022,,-0.150853645,31.64236547,1.566723892,,
-0.203591891,31.90900137,1.566723892,,-0.374140177,32.28702923,1.558579022,,-0.15164971,31.83784073,1.566723892,,
-0.205383021,32.12890557,1.562651457,,-0.374936241,32.48250448,1.566723892,,-0.152644791,32.08218479,1.566723892,,
-0.206975137,32.32437596,1.562651457,,-0.377921418,32.72683234,1.558579022,,-0.153639871,32.32652886,1.566723892,,
-0.208965282,32.56871395,1.562651457,,-0.380110577,32.99560413,1.562651457,,-0.154435936,32.52200412,1.566723892,,
-0.209860855,32.78862361,1.566723892,,-0.382797236,33.21549921,1.558579022,,-0.155232001,32.71747937,1.566723892,,
-0.21065692,32.98409887,1.566723892,,-0.385185377,33.41096149,1.558579022,,-0.156028065,32.91295463,1.566723892,,
-0.212846079,33.25287066,1.562651457,,-0.388170554,33.65528935,1.558579022,,-0.156028065,33.13286612,1.570796327,,
-0.214040167,33.39947345,1.562651457,,-0.390558695,33.85075164,1.558579022,,-0.157122654,33.40164459,1.566723892,,
-0.215632283,33.59494384,1.562651457,,-0.392946836,34.04621393,1.558579022,,-0.158316751,33.69485747,1.566723892,,
-0.216527855,33.8148535,1.566723892,,-0.394737967,34.26611812,1.562651457,,-0.159112816,33.89033273,1.566723892,,
-0.218318986,34.0347577,1.562651457,,-0.397424626,34.48601319,1.558579022,,-0.160903947,34.11023692,1.562651457,,
-0.219911102,34.23022809,1.562651457,,-0.401006837,34.77920662,1.558579022,,-0.161799519,34.33014658,1.566723892,,
-0.221503218,34.42569848,1.562651457,,-0.403394978,34.97466891,1.558579022,,-0.162595584,34.52562184,1.566723892,,
-0.222398791,34.64560814,1.566723892,,-0.40578312,35.1701312,1.558579022,,-0.162595584,34.74553332,1.570796327,,
-0.223194856,34.8410834,1.566723892,,-0.408768296,35.41445906,1.558579022,,-0.163491157,34.96544299,1.566723892,,
-0.224985986,35.06098759,1.562651457,,-0.41314647,35.6832041,1.554506587,,-0.164287221,35.16091824,1.566723892,,
-0.226976131,35.30532558,1.562651457,,-0.415534644,35.97640969,1.562651457,,-0.165282302,35.40526231,1.566723892,,
-0.228170219,35.45192837,1.562651457,,-0.41712676,36.17188009,1.562651457,,-0.166078367,35.60073757,1.566723892,,
-0.229065791,35.67183804,1.566723892,,-0.418320847,36.31848288,1.562651457,,-0.166874431,35.79621282,1.566723892,,
-0.229861856,35.86731329,1.566723892,,-0.420310993,36.56282087,1.562651457,,-0.167869512,36.04055689,1.566723892,,
-0.231652987,36.08721748,1.562651457,,-0.423594687,36.83158152,1.558579022,,-0.168665577,36.23603215,1.566723892,,
-0.233245103,36.28268788,1.562651457,,-0.425982828,37.0270438,1.558579022,,-0.169660658,36.48037621,1.566723892,,
-0.234837219,36.47815827,1.562651457,,-0.427375929,37.1980804,1.562651457,,-0.170456722,36.67585147,1.566723892,,
-0.235732791,36.69806793,1.566723892,,-0.428968046,37.39355079,1.562651457,,-0.171252787,36.87132672,1.566723892,,
-0.236528856,36.89354318,1.566723892,,-0.430560162,37.58902118,1.562651457,,-0.172048852,37.06680198,1.566723892,,
-0.238319987,37.11344738,1.562651457,,-0.43324682,37.80891626,1.558579022,,-0.172048852,37.28671347,1.570796327,,
-0.240310132,37.35778537,1.562651457,,-0.435037926,37.95551297,1.558579022,,-0.172944424,37.50662313,1.566723892,,
-0.241006688,37.52882622,1.566723892,,-0.438620138,38.2487064,1.558579022,,-0.173740489,37.70209838,1.566723892,,
-0.24239979,37.69986281,1.562651457,,-0.441605315,38.49303426,1.558579022,,-0.174536554,37.89757364,1.566723892,,
-0.244389935,37.9442008,1.562651457,,-0.442998416,38.66407086,1.562651457,,-0.175332618,38.09304889,1.566723892,,
-0.245982051,38.13967119,1.562651457,,-0.444590532,38.85954125,1.562651457,,-0.177123749,38.31295309,1.562651457,,
-0.247972196,38.38400918,1.562651457,,-0.446680156,39.03057075,1.558579022,,-0.178019322,38.53286275,1.566723892,,
-0.249564313,38.57947957,1.562651457,,-0.449068297,39.22603304,1.558579022,,-0.178815386,38.728338,1.566723892,,
