Sr No.,Large-LeftPosition-X,Large-LeftPosition-Z,Large-RightPosition-X,Large-RightPosition-Z,Large-StraightPosition-X,Large-StraightPosition-Z,,Medium-LeftPosition-X,Medium-LeftPosition-Z,Medium-RightPosition-X,Medium-RightPosition-Z,Medium-StraightPosition-X,Medium-StraightPosition-Z,,Small-LeftPosition-X,Small-LeftPosition-Z,Small-RightPosition-X,Small-RightPosition-Z,Small-StraightPosition-X,Small-StraightPosition-Z
1,-2239.155518,603.669189,-2624.748291,536.391418,-2424.124756,664.827698,,-2171.270264,658.895508,-2633.294678,624.08844,-2387.120605,743.61554,,-2243.756348,611.976135,-2637.454834,536.382568,-2433.692383,670.866455
2,-2238.980225,605.063049,-2625.382324,536.331238,-2424.265381,665.511108,,-2172.12207,659.569824,-2632.556152,624.515991,-2387.140625,743.353027,,-2243.571533,612.078308,-2637.178711,536.458557,-2433.663574,670.924438
3,-2238.924316,604.435547,-2624.873291,536.763733,-2423.86499,665.446106,,-2171.891602,659.015869,-2632.344971,624.169006,-2387.07251,743.015503,,-2244.213379,612.688538,-2637.046143,536.465942,-2433.667969,670.776855
4,-2238.830322,604.872375,-2624.68457,536.591309,-2423.802002,665.102295,,-2173.552979,660.719543,-2632.617188,624.703552,-2386.979248,743.104187,,-2242.964355,611.839722,-2637.20459,536.551025,-2433.736572,670.784363
5,-2238.937988,604.760376,-2625.091553,536.633606,-2423.97583,665.334839,,-2171.16626,659.171509,-2632.307373,624.641052,-2387.000488,743.457947,,-2243.420898,612.070129,-2637.199707,536.419617,-2433.649414,670.784607
6,-2238.803223,604.989502,-2625.128174,536.836121,-2423.924316,665.466492,,-2171.479248,659.508728,-2632.690186,624.752502,-2387.057617,743.384399,,-2243.575439,612.195129,-2636.983643,536.466797,-2433.83667,670.717834
7,-2239.169922,604.570557,-2624.966553,536.079407,-2423.905518,665.557556,,-2171.789551,659.244324,-2633.05542,624.220764,-2386.977783,743.555786,,-2243.375244,612.035217,-2637.201416,536.489807,-2433.731445,670.963745
8,-2238.889893,604.197815,-2624.891113,535.987061,-2423.795898,665.1297,,-2172.368652,659.807312,-2632.283203,624.618774,-2386.953613,743.740662,,-2243.464844,612.12146,-2637.185303,536.579346,-2433.667725,670.901794
9,-2239.004883,605.035767,-2625.061035,536.28363,-2423.894531,665.44873,,-2172.872314,660.158752,-2632.286133,624.056946,-2386.94873,743.799866,,-2243.590332,612.22052,-2636.534424,535.636108,-2433.828613,670.633789
10,-2239.075439,604.973267,-2624.936768,536.104126,-2424.281982,665.655884,,-2172.382568,659.723145,-2632.281494,624.944336,-2386.91626,743.556946,,-2243.354736,612.039429,-2636.548828,536.312927,-2433.685791,670.763794
