Sr No.,Large-LeftPosition-X,Large-LeftPosition-Z,Large-RightPosition-X,Large-RightPosition-Z,Large-StraightPosition-X,Large-StraightPosition-Z,,Medium-LeftPosition-X,Medium-LeftPosition-Z,Medium-RightPosition-X,Medium-RightPosition-Z,Medium-StraightPosition-X,Medium-StraightPosition-Z,,Small-LeftPosition-X,Small-LeftPosition-Z,Small-RightPosition-X,Small-RightPosition-Z,Small-StraightPosition-X,Small-StraightPosition-Z
1,-2213.460205,624.100586,-2627.21,570.08,-2409.61,691.43,,-2221.10,619.42,-2628.96,560.39,-2412.78,686.86,,-2203.21,627.70,-2628.46,578.88,-2405.98,702.33
2,-2213.953125,623.389099,-2627.35,569.98,-2410.20,693.26,,-2221.10,619.32,-2629.17,560.23,-2413.76,686.88,,-2204.53,628.38,-2628.86,578.47,-2404.56,701.99
3,-2213.121582,627.85199,-2627.22,568.87,-2410.00,692.40,,-2221.18,619.20,-2628.80,560.71,-2413.64,687.29,,-2203.30,627.84,-2628.79,578.57,-2404.46,701.99
4,-2213.48877,623.271057,-2626.94,570.08,-2410.22,692.46,,-2221.31,619.13,-2628.88,560.95,-2412.83,686.98,,-2205.57,628.88,-2628.88,578.78,-2405.00,702.01
5,-2213.536133,622.937073,-2628.42,570.37,-2409.86,693.08,,-2220.49,619.05,-2629.17,560.39,-2415.10,686.72,,-2204.97,628.57,-2629.28,578.82,-2405.14,701.87
6,-2213.239746,627.765625,-2627.42,570.17,-2410.21,692.84,,-2220.88,619.27,-2628.82,561.87,-2413.90,686.97,,-2204.78,628.98,-2628.31,578.74,-2405.04,701.91
7,-2214.162109,622.896912,-2626.95,569.73,-2410.56,692.42,,-2221.45,618.29,-2629.16,560.25,-2414.65,686.98,,-2203.95,628.14,-2628.80,578.79,-2405.07,701.99
8,-2214.0896,622.425903,-2627.36,569.65,-2410.53,693.28,,-2221.34,619.12,-2629.16,560.49,-2413.82,687.01,,-2206.12,629.45,-2628.70,578.75,-2405.09,702.08
9,-2214.458252,623.156433,-2627.15,569.62,-2410.56,692.85,,-2221.24,619.04,-2629.09,560.21,-2414.92,686.66,,-2203.91,628.17,-2628.93,578.83,-2405.00,702.14
10,-2213.595215,623.930237,-2627.39,569.71,-2410.94,694.01,,-2220.23,619.18,-2628.26,559.93,-2414.77,685.13,,-2203.71,627.90,-2628.54,578.44,-2405.05,702.34
11,-2214.033936,623.477112,-2627.28,570.05,-2410.44,692.58,,-2219.83,619.41,-2629.00,561.01,-2414.72,686.63,,-2204.00,628.02,-2628.74,578.43,-2405.39,701.92
12,-2213.69043,623.53186,-2627.82,569.90,-2410.73,693.50,,-2220.86,617.87,-2628.90,560.90,-2413.26,687.25,,-2204.09,628.29,-2628.52,578.30,-2405.60,701.65
13,-2213.321533,622.778503,-2627.17,569.45,-2410.18,693.64,,-2220.71,619.37,-2629.10,561.00,-2414.93,685.36,,-2204.15,628.31,-2628.69,578.83,-2406.05,701.76
14,-2214.141357,622.984192,-2627.21,570.06,-2409.95,693.92,,-2220.95,619.41,-2629.14,560.80,-2413.10,687.17,,-2204.03,628.03,-2628.81,578.44,-2405.83,702.00
15,-2213.010742,622.952576,-2627.22,569.96,-2410.39,693.67,,-2220.63,619.15,-2628.88,560.69,-2413.55,686.95,,-2204.46,628.48,-2629.06,578.51,-2405.76,702.15
16,-2213.345703,623.002747,-2627.20,569.49,-2410.00,693.97,,-2220.77,618.98,-2628.93,560.57,-2414.74,685.67,,-2203.21,627.75,-2629.48,578.05,-2406.06,701.85
17,-2215.021729,623.346069,-2627.14,569.66,-2410.32,693.84,,-2220.09,619.28,-2628.66,561.82,-2413.66,687.14,,-2205.12,629.18,-2628.86,578.54,-2405.99,701.71
18,-2214.143066,623.284607,-2627.23,570.04,-2410.37,693.60,,-2221.18,619.22,-2628.86,561.00,-2413.36,687.11,,-2205.21,629.20,-2628.92,578.34,-2405.69,701.72
19,-2212.711914,623.261475,-2627.56,569.44,-2410.32,693.77,,-2220.18,619.09,-2628.80,561.70,-2413.69,687.19,,-2204.57,628.76,-2628.81,578.43,-2405.44,702.17
20,-2215.402588,623.09198,-2626.97,569.24,-2409.97,693.85,,-2221.00,619.07,-2628.85,561.10,-2413.88,687.00,,-2204.53,628.56,-2628.92,578.62,-2406.02,702.07
21,-2213.527832,623.359314,-2627.44,569.98,-2409.62,693.88,,-2221.45,618.78,-2628.83,561.43,-2413.55,687.20,,-2204.03,628.34,-2629.00,578.14,-2406.36,702.08
22,-2213.884766,623.291199,-2627.67,569.88,-2409.42,694.55,,-2220.94,618.93,-2628.99,560.96,-2413.92,687.47,,-2204.48,628.66,-2628.76,578.44,-2406.51,701.93
23,-2213.25293,622.931274,-2627.31,569.13,-2409.96,694.10,,-2221.51,619.29,-2628.90,560.98,-2414.79,686.78,,-2202.89,627.88,-2628.46,578.36,-2406.11,702.16
24,-2213.464844,623.456238,-2627.19,569.15,-2410.07,693.63,,-2221.06,619.32,-2628.66,560.42,-2414.36,687.06,,-2205.07,628.87,-2628.96,578.18,-2406.34,701.76
25,-2214.157959,622.882629,-2627.25,569.73,-2410.05,694.10,,-2221.50,618.91,-2628.76,560.52,-2414.45,686.95,,-2204.55,628.31,-2628.76,578.10,-2406.11,701.64
